t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
0.000000000000000000e+00,6.000000000000000000e+01,8.550328322101260881e+01,-1.011715712889203047e+02,7.566828806790769590e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.512000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,6.000000000000000000e+01,8.383294453084501185e+01,-8.931929708968158366e+01,6.548635255883657180e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.585999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,6.000000000000000000e+01,8.448753672023501338e+01,-8.302063476929849628e+01,5.853309804906348290e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.557000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,6.000000000000000711e+01,8.396837739761535602e+01,-7.530927639162837295e+01,5.134089899401302404e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.580000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,6.000000000000000000e+01,8.426181527561776363e+01,-6.995692462630616149e+01,4.569510935068839785e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.567000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.000000000000000000e+01,8.441982028684984130e+01,-6.499869089442722725e+01,4.057887060757738595e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.560000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,6.000000000000000000e+01,8.376522809745982556e+01,-5.909722572896522053e+01,3.533199763150539496e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.589000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.000000000000000000e+01,8.426181527561776363e+01,-5.596922549792851953e+01,3.170741022231075590e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.567000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.000000000000000000e+01,8.360722308622776211e+01,-5.108819798822916880e+01,2.748097490200141024e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.596000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.000000000000000000e+01,8.360722308622776211e+01,-4.792720527798245200e+01,2.431998219175468989e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.596000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,6.000000000000000000e+01,8.376522809745982556e+01,-4.542764054787409123e+01,2.166241245041426211e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.589000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,6.000000000000000000e+01,8.390066096423018394e+01,-4.319121422236604246e+01,1.929055325813586208e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.582999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,6.000000000000000000e+01,8.311063590806982404e+01,-3.948314518092431058e+01,1.637250927285448654e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.617999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,6.000000000000000000e+01,8.295263089683774638e+01,-3.730206559837260727e+01,1.434943470153486089e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.625000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,6.000000000000000000e+01,8.311063590806982404e+01,-3.594936076119543600e+01,1.283872485312560840e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.617999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,6.000000000000000000e+01,8.340407378607224587e+01,-3.502571257069187993e+01,1.162163878461963584e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.605000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,6.000000000000000000e+01,8.236575514083290273e+01,-3.173173135664110589e+01,9.365976215808203165e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.651000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,6.000000000000000000e+01,8.236575514083290273e+01,-3.065441213313867763e+01,8.288656992305773130e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.651000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,6.000000000000000000e+01,8.265919301883533876e+01,-3.025413443405581759e+01,7.594941415220477943e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.637999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,6.000000000000000000e+01,8.186916796267496466e+01,-2.789135040921797071e+01,6.022182446543005163e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.673000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,6.000000000000000000e+01,8.180145152928977836e+01,-2.707100648204585269e+01,5.269554952756075217e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.676000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,6.000000000000000000e+01,8.157573008467255704e+01,-2.603939782330065711e+01,4.463667738628100068e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.685999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,6.000000000000000000e+01,8.144029721790219867e+01,-2.527067788600745857e+01,3.830380668105260344e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.692000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,6.000000000000000000e+01,8.092113789528254131e+01,-2.385148678000507871e+01,2.930348884722536518e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.714999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,6.000000000000000711e+01,8.121457577328496313e+01,-2.406754721767777383e+01,2.852971444392811584e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.701999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,6.000000000000000000e+01,8.069541645066529156e+01,-2.276078237901488066e+01,2.065365928349590430e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.725000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.999999999999999289e+01,8.033426213927771187e+01,-2.184244721361723052e+01,1.508185074339518206e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.741000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,6.000000000000000000e+01,8.033426213927771187e+01,-2.166896857820888656e+01,1.334706438931175132e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.741000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,6.000000000000000711e+01,7.938623207188527431e+01,-1.972843108423215952e+01,3.421990123468868772e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.782999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,6.000000000000000000e+01,7.983767496111977380e+01,-2.054002838860621694e+01,7.023534274864425830e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.762999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,6.000000000000000000e+01,7.895736132711250832e+01,-1.879987095172149481e+01,-1.574903753910142923e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.801999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,6.000000000000000711e+01,7.888964489372733624e+01,-1.869034244545429502e+01,-1.993024482730403890e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.805000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,6.000000000000000000e+01,7.873163988249524436e+01,-1.841543162994474869e+01,-3.162082525504938957e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.812000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,6.000000000000000000e+01,7.866392344911008649e+01,-1.832415961037341390e+01,-3.397638387366713753e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.814999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,6.000000000000000000e+01,7.794161482633489868e+01,-1.700170700128753154e+01,-9.399078250473679175e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.846999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,6.000000000000000000e+01,7.807704769310525705e+01,-1.736510727873572435e+01,-7.119404143695327036e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.841000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,6.000000000000000711e+01,7.742245550371522711e+01,-1.621310799306835193e+01,-1.209347510646874513e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.869999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,6.000000000000000000e+01,7.742245550371522711e+01,-1.635221290761166557e+01,-1.070242596103563093e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.869999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,6.000000000000000000e+01,7.656471401416969513e+01,-1.485849584701299086e+01,-1.706218167156703824e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.907999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,6.000000000000000000e+01,7.647442543632278955e+01,-1.488456145945662890e+01,-1.589863976866161321e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.912000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,6.000000000000000000e+01,7.627127613616727331e+01,-1.468450379194556099e+01,-1.586772344221712761e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.921000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,6.000000000000000000e+01,7.618098755832038194e+01,-1.469683017654475066e+01,-1.484157381775632167e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.925000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
