t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,8.557099965439778089e+01,-1.112992150887795333e+02,7.572821543438175240e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.508999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,8.448753672023501338e+01,-1.005462940236759124e+02,6.605875730344089902e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.557000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,4.999999999999999289e+01,8.426181527561776363e+01,-9.252242158326137655e+01,5.826060630764360582e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.567000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,4.999999999999999289e+01,8.441982028684984130e+01,-8.611884450300399862e+01,5.169902421615415022e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.560000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,8.419409884223259155e+01,-7.974669700218379376e+01,4.555259815995120221e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.569999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000711e+01,8.441982028684984130e+01,-7.493249938654497555e+01,4.051267909969514136e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.560000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000711e+01,8.448753672023501338e+01,-7.040018174895990910e+01,3.591264502872490283e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.557000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,8.419409884223259155e+01,-6.571621502184829922e+01,3.152211617961571122e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.569999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,8.441982028684984130e+01,-6.251587031423927243e+01,2.809605002738943114e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.560000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,8.419409884223259155e+01,-5.885864939869801304e+01,2.466455055646542149e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.569999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,8.383294453084501185e+01,-5.534084830744664174e+01,2.150790377660162989e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.585999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,8.353950665284259003e+01,-5.231378357356220477e+01,1.877427692071961829e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.598999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,8.383294453084501185e+01,-5.070739989482135712e+01,1.687445536397634527e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.585999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,8.376522809745982556e+01,-4.863877581369020220e+01,1.487354771623038019e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.589000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,8.331378520822532607e+01,-4.607699080085569676e+01,1.276320559263036891e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.608999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,8.317835234145499612e+01,-4.435361846318473056e+01,1.117526612172973621e+01,0.000000000000000000e+00,6.300000000000000000e+01,2.614999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,8.302034733022291846e+01,-4.277035055844540068e+01,9.750003228222478668e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.621999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,8.331378520822532607e+01,-4.220198185038802308e+01,8.888196642162697003e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.608999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,8.288491446345257430e+01,-4.037120837814878627e+01,7.486293914696211971e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.628000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,8.265919301883533876e+01,-3.908461983880616941e+01,6.425426819970830650e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.637999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,8.193688439606013674e+01,-3.698400275659430037e+01,5.047118360534160963e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.669999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,8.209488940729222861e+01,-3.670129468071002066e+01,4.606405273417792934e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.662999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,8.171116295144290120e+01,-3.544812912571373431e+01,3.736966174270832663e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.680000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,8.144029721790219867e+01,-3.450771026616529724e+01,3.067413048263095909e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.692000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,8.121457577328496313e+01,-3.372940246489891081e+01,2.514826691613950782e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.701999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,8.128229220667013522e+01,-3.356777891277833703e+01,2.285486706108198263e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.698999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,8.150801365128737075e+01,-3.373037067185230597e+01,2.222357020564938335e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.689000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,8.069541645066529156e+01,-3.194301897706491289e+01,1.247602526399621325e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.725000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,8.069541645066529156e+01,-3.179951378828256736e+01,1.104097337617276464e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.725000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,8.078570502851218293e+01,-3.184270698341938655e+01,1.057001954907204055e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.721000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,7.967966994988768192e+01,-2.963627684975701371e+01,-4.339310013066832727e-02,0.000000000000000000e+00,6.300000000000000000e+01,2.769999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000000e+01,8.049226715050976111e+01,-3.117299372926055767e+01,6.807265787507950083e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.733999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,5.000000000000000000e+01,7.961195351650250984e+01,-2.943532391559310213e+01,-1.766296009094079356e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.773000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,5.000000000000000711e+01,7.997310782789010375e+01,-3.013640762670624795e+01,1.632997988161446756e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.757000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
