t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,7.042509072058061292e+01,-8.274955185359857524e+01,6.232446113301796231e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.680000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,6.940934421980301749e+01,-7.366603829170313134e+01,5.425669407190011384e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.725000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,6.927391135303267333e+01,-6.716988714711560249e+01,4.789597579408292916e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.730999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,6.956734923103508095e+01,-6.221378686709079631e+01,4.264643763605571536e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.717999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,6.977049853119061140e+01,-5.769132175266979345e+01,3.792082322147918205e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.708999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,6.934162778641783120e+01,-5.252107719893512439e+01,3.317944941251729318e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.728000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,6.977049853119061140e+01,-4.951302952344290986e+01,2.974253099225229846e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.708999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,6.920619491964748704e+01,-4.502820352073739940e+01,2.582200860108991236e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.733999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,6.927391135303267333e+01,-4.218567682107666883e+01,2.291176546804399550e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.730999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,6.911590634180059567e+01,-3.925242082421863188e+01,2.013651448241803621e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.737999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,6.920619491964748704e+01,-3.710641468899586926e+01,1.790021976934838577e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.733999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
