t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,7.523295749092794438e+01,-9.181226164360386122e+01,6.657930415267591684e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.467000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,7.457836530153792864e+01,-8.292010269117125176e+01,5.834173738963332312e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.496000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,7.480408674615517839e+01,-7.663483732704396800e+01,5.183075058088878961e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.485999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000711e+01,7.435264385692067890e+01,-6.982205869906712792e+01,4.546941484214645612e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.505999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000711e+01,7.464608173492311494e+01,-6.514507302496130592e+01,4.049899129003819809e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.492999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,7.451064886815277077e+01,-6.023139842490275697e+01,3.572074955674998620e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.498999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,7.408177812337999057e+01,-5.531421682985184418e+01,3.123243870647185005e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.517999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,7.451064886815277077e+01,-5.253012360541274006e+01,2.801947473725996929e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.498999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,7.399148954553309920e+01,-4.832858761198417596e+01,2.433709806645107321e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.521999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,7.414949455676517687e+01,-4.582705413239230552e+01,2.167755957562713220e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.514999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,7.408177812337999057e+01,-4.320595411277188447e+01,1.912417598939189389e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.517999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,7.399148954553309920e+01,-4.083600850963016171e+01,1.684451896409705896e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.521999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,7.349490236737516113e+01,-3.796241712345116781e+01,1.446751475607600845e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.544000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,7.349490236737516113e+01,-3.629829462261469075e+01,1.280339225523952784e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.544000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,7.342718593398998905e+01,-3.469794362333605164e+01,1.127075768934606437e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.546999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,7.369805166753067738e+01,-3.391210255580909916e+01,1.021405088827842533e+01,0.000000000000000000e+00,5.800000000000000000e+01,2.535000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,7.304345947814066164e+01,-3.150334367616629550e+01,8.459884198025632074e+00,0.000000000000000000e+00,5.800000000000000000e+01,2.564000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,7.297574304475548956e+01,-3.040260367521330664e+01,7.426860630457817081e+00,0.000000000000000000e+00,5.800000000000000000e+01,2.567000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
