tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000092024e-03
2.000000000000000000e+00,1.000000000000000000e+00,8.000000000000007105e-03
3.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
4.000000000000000000e+00,1.000000000000000000e+00,-9.999999999999787705e-04
5.000000000000000000e+00,1.000000000000000000e+00,1.500000000000056843e-03
6.000000000000000000e+00,1.000000000000000000e+00,1.500000000000056843e-03
7.000000000000000000e+00,1.000000000000000000e+00,-9.999999999999787705e-04
8.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
9.000000000000000000e+00,1.000000000000000000e+00,1.500000000000056843e-03
1.000000000000000000e+01,1.000000000000000000e+00,-1.750000000000007192e-03
1.100000000000000000e+01,1.000000000000000000e+00,7.500000000000284217e-04
1.200000000000000000e+01,1.000000000000000000e+00,-1.750000000000007192e-03
1.300000000000000000e+01,1.000000000000000000e+00,3.250000000000064036e-03
1.400000000000000000e+01,1.000000000000000000e+00,4.000000000000092024e-03
1.500000000000000000e+01,1.000000000000000000e+00,-1.750000000000007192e-03
1.600000000000000000e+01,1.000000000000000000e+00,2.250000000000085265e-03
1.700000000000000000e+01,1.000000000000000000e+00,1.500000000000056843e-03
1.800000000000000000e+01,1.000000000000000000e+00,7.500000000000284217e-04
1.900000000000000000e+01,1.000000000000000000e+00,6.500000000000128071e-03
2.000000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.100000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
2.200000000000000000e+01,1.000000000000000000e+00,1.050000000000004229e-02
2.300000000000000000e+01,1.000000000000000000e+00,1.500000000000056843e-03
2.400000000000000000e+01,1.000000000000000000e+00,2.250000000000085265e-03
2.500000000000000000e+01,1.000000000000000000e+00,7.500000000000284217e-04
2.600000000000000000e+01,1.000000000000000000e+00,3.250000000000064036e-03
2.700000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.800000000000000000e+01,1.000000000000000000e+00,9.500000000000063949e-03
2.900000000000000000e+01,1.000000000000000000e+00,4.750000000000120445e-03
3.000000000000000000e+01,1.000000000000000000e+00,3.250000000000064036e-03
3.100000000000000000e+01,1.000000000000000000e+00,6.500000000000128071e-03
3.200000000000000000e+01,1.000000000000000000e+00,3.250000000000064036e-03
3.300000000000000000e+01,1.000000000000000000e+00,9.500000000000063949e-03
3.400000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
3.500000000000000000e+01,1.000000000000000000e+00,9.500000000000063949e-03
3.600000000000000000e+01,1.000000000000000000e+00,9.500000000000063949e-03
3.700000000000000000e+01,1.000000000000000000e+00,6.500000000000128071e-03
3.800000000000000000e+01,1.000000000000000000e+00,6.500000000000128071e-03
3.900000000000000000e+01,1.000000000000000000e+00,1.200000000000009913e-02
4.000000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-03
4.100000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-03
4.200000000000000000e+01,1.000000000000000000e+00,1.125000000000007071e-02
4.300000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
4.400000000000000000e+01,1.000000000000000000e+00,1.200000000000009913e-02
4.500000000000000000e+01,1.000000000000000000e+00,1.925000000000007955e-02
4.600000000000000000e+01,1.000000000000000000e+00,1.200000000000009913e-02
4.700000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
4.800000000000000000e+01,1.000000000000000000e+00,1.450000000000013431e-02
4.900000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
5.000000000000000000e+01,1.000000000000000000e+00,1.375000000000010589e-02
5.100000000000000000e+01,1.000000000000000000e+00,1.675000000000004263e-02
5.200000000000000000e+01,1.000000000000000000e+00,2.324999999999999289e-02
5.300000000000000000e+01,1.000000000000000000e+00,1.675000000000004263e-02
5.400000000000000000e+01,1.000000000000000000e+00,1.850000000000005113e-02
5.500000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
5.600000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
5.700000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
5.800000000000000000e+01,1.000000000000000000e+00,2.100000000000008457e-02
5.900000000000000000e+01,1.000000000000000000e+00,2.250000000000014141e-02
6.000000000000000000e+01,1.000000000000000000e+00,2.100000000000008457e-02
6.100000000000000000e+01,1.000000000000000000e+00,2.575000000000002981e-02
6.200000000000000000e+01,1.000000000000000000e+00,2.100000000000008457e-02
6.300000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
6.400000000000000000e+01,1.000000000000000000e+00,2.250000000000014141e-02
6.500000000000000000e+01,1.000000000000000000e+00,2.575000000000002981e-02
6.600000000000000000e+01,1.000000000000000000e+00,2.900000000000009168e-02
6.700000000000000000e+01,1.000000000000000000e+00,3.550000000000004541e-02
6.800000000000000000e+01,1.000000000000000000e+00,3.300000000000000849e-02
6.900000000000000000e+01,1.000000000000000000e+00,2.975000000000012010e-02
7.000000000000000000e+01,1.000000000000000000e+00,3.550000000000004541e-02
7.100000000000000000e+01,1.000000000000000000e+00,3.550000000000004541e-02
7.200000000000000000e+01,1.000000000000000000e+00,4.100000000000001560e-02
7.300000000000000000e+01,1.000000000000000000e+00,3.550000000000004541e-02
7.400000000000000000e+01,1.000000000000000000e+00,4.350000000000005251e-02
7.500000000000000000e+01,1.000000000000000000e+00,3.849999999999997868e-02
7.600000000000000000e+01,1.000000000000000000e+00,3.050000000000014852e-02
7.700000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
7.800000000000000000e+01,1.000000000000000000e+00,3.375000000000003691e-02
7.900000000000000000e+01,1.000000000000000000e+00,3.550000000000004541e-02
8.000000000000000000e+01,1.000000000000000000e+00,3.700000000000010225e-02
8.100000000000000000e+01,1.000000000000000000e+00,3.775000000000013067e-02
8.200000000000000000e+01,1.000000000000000000e+00,3.700000000000010225e-02
8.300000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
8.400000000000000000e+01,1.000000000000000000e+00,4.675000000000011091e-02
8.500000000000000000e+01,1.000000000000000000e+00,4.350000000000005251e-02
8.600000000000000000e+01,1.000000000000000000e+00,4.350000000000005251e-02
8.700000000000000000e+01,1.000000000000000000e+00,4.350000000000005251e-02
8.800000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
8.900000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
9.000000000000000000e+01,1.000000000000000000e+00,4.900000000000002270e-02
9.100000000000000000e+01,1.000000000000000000e+00,5.075000000000003120e-02
9.200000000000000000e+01,1.000000000000000000e+00,5.475000000000011802e-02
9.300000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
9.400000000000000000e+01,1.000000000000000000e+00,5.150000000000005962e-02
9.500000000000000000e+01,1.000000000000000000e+00,5.625000000000000139e-02
9.600000000000000000e+01,1.000000000000000000e+00,5.475000000000011802e-02
9.700000000000000000e+01,1.000000000000000000e+00,5.475000000000011802e-02
9.800000000000000000e+01,1.000000000000000000e+00,5.724999999999998146e-02
9.900000000000000000e+01,1.000000000000000000e+00,5.800000000000000988e-02
1.000000000000000000e+02,1.000000000000000000e+00,5.875000000000003830e-02
1.010000000000000000e+02,1.000000000000000000e+00,5.724999999999998146e-02
1.020000000000000000e+02,1.000000000000000000e+00,5.800000000000000988e-02
1.030000000000000000e+02,1.000000000000000000e+00,5.950000000000006672e-02
1.040000000000000000e+02,1.000000000000000000e+00,6.750000000000007383e-02
1.050000000000000000e+02,1.000000000000000000e+00,6.450000000000014055e-02
